============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 keV) ==> Tungsten+SiO@2+Silicon(  2.5 um) ===========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  467  1 ,7287103E+04 -  2871989E-07  ,1056E+04 -,6400E+02  -,4522940  ,8110625 -,3709552
B  468  1 ,3919176E+04 -  1330453E-06  ,8681E+03 -,2997E+03  -,8702787  ,4298748 -,2404632
B  481  1 ,1276977E+05 -  9690304E-07  ,3930E+03 -,8244E+02  -,8185309  ,4451398 -,3631221
B  482  1 ,1660362E+05 -  7745578E-07  ,2128E+03  ,7250E+02  -,3830970  ,7149163  ,5849200
B  483  1 ,6720419E+04 -  1823340E-06  ,7682E+03  ,4644E+03  -,8471068  ,0294297  ,5306072
B  487  1 ,4954815E+04 -  1147334E-06  ,6556E+03 -,3001E+03  -,5773108  ,0162335 -,8163631
B  488  1 ,3573677E+04 -  3086675E-07  ,7885E+03  ,6403E+03  -,4538211  ,1738185  ,8739757
B  493  1 ,2035669E+04 -  5617869E-07  ,2120E+03  ,1006E+04  -,7807862  ,3784357  ,4971512
B  495  1 ,1545829E+05 -  8721299E-07  ,4155E+03  ,4246E+02  -,7671618  ,6042238  ,2153517
B  503  1 ,1765785E+04 -  1978746E-07  ,1450E+04 -,4016E+03  -,3430893  ,6474509  ,6805123
B  508  1 ,8216400E+04 -  6260512E-07  ,7580E+03  ,1208E+03  -,6194267  ,1444218  ,7716559
B  512  1 ,7508692E+04 -  5084935E-07  ,3542E+03 -,2237E+03  -,4476350 -,5603603 -,6968639
B  514  1 ,7536089E+04 -  6182367E-07  ,7952E+03 -,1268E+03  -,8884471  ,1350322  ,4386662
B  522  1 ,4875943E+04 -  8402911E-07  ,8147E+03 -,4196E+03  -,8732342 -,0920992  ,4785183
B  524  1 ,1236538E+05 -  8872275E-07  ,5378E+03  ,1548E+03  -,8448631  ,2416868  ,4772776
B  526  1 ,1176922E+05 -  8328034E-07  ,9431E+03 -,2503E+03  -,4081475  ,2020399 -,8902783
B  528  1 ,1334493E+05 -  6813186E-07  ,6522E+03 -,2142E+03  -,3618286  ,6149568 -,7006484
B  531  1 ,6217957E+04 -  5537505E-07  ,4791E+03  ,4467E+03  -,8614739 -,1124499  ,4951947
B  535  1 ,1747083E+05 -  1676709E-06  ,4230E+03 -,6509E+01  -,8884101 -,4510208 -,0854852
B  538  1 ,1189284E+05 -  8814221E-07  ,4662E+03  ,5788E+02  -,4410536  ,6182432 -,6505744
B  540  1 ,2136173E+03 -  1399834E-06 -,6366E+02 -,3599E+03  -,8446872 -,2879141 -,4512305
B  542  1 ,1624103E+04 -  8955418E-07  ,1421E+04  ,3835E+03  -,4289295 -,1779837  ,8856304
B  543  1 ,9395945E+04 -  1390236E-06 -,9749E+00  ,2313E+03  -,6843372 -,4014277  ,6087187
B  545  1 ,5286469E+04 -  1243352E-06  ,7497E+03 -,2498E+03  -,9596541 -,2508946 -,1269482
B  546  1 ,7507279E+04 -  4471364E-07  ,7220E+03 -,2467E+03  -,9028398  ,3524902 -,2462334
B  547  1 ,1155488E+05 -  2635262E-07  ,5371E+03 -,6105E+02  -,1755122  ,9271482  ,3310463
B  548  1 ,7624286E+04 -  3069911E-07  ,1063E+04  ,6966E+02  -,4704968  ,8807249 -,0543718
B  549  1 ,4436880E+04 -  8755403E-07  ,9677E+03 -,3713E+03  -,7844875  ,5418792  ,3015731
B  550  1 ,3971322E+04 -  5525924E-07  ,9875E+03 -,2528E+03  -,5841678 -,7486154  ,3135649
B  552  1 ,1000939E+05 -  8969949E-07  ,5633E+03 -,5141E+02  -,8306212  ,5050075  ,2345971
B  554  1 ,1765163E+05 -  8814073E-07  ,2194E+03  ,2529E+02  -,6263518  ,6995229  ,3440221
B  557  1 ,8094073E+04 -  1711373E-06  ,6436E+03  ,8409E+02  -,8121681  ,5620400  ,1565059
B  559  1 ,3948815E+04 -  3987996E-07  ,6047E+03 -,3421E+03  -,5253158  ,1226418 -,8420227
B  560  1 ,1253764E+05 -  1690002E-06  ,4436E+03  ,8948E+01  -,8150842  ,5574599  ,1577218
B  561  1 ,1058235E+05 -  1471997E-07  ,5935E+03  ,4837E+03  -,4283021  ,1773978  ,8860515
B  564  1 ,6560561E+04 -  1154109E-06  ,8534E+03  ,2047E+03  -,6402841  ,4180727  ,6444001
B  566  1 ,1073962E+05 -  8199506E-07  ,4493E+03  ,3481E+03  -,7249620  ,5349312  ,4339109
B  567  1 ,8394569E+04 -  1761296E-06  ,7637E+03 -,1853E+03  -,7278038  ,3893482 -,5645438
B  568  1 ,1066267E+05 -  1080307E-06  ,6592E+03  ,2253E+03  -,4983472  ,8063397  ,3185380
B  572  1 ,5179520E+04 -  4160286E-07  ,1311E+04  ,2501E+03  -,4315363  ,8984607  ,0808994
B  573  1 ,2471427E+04 -  1752083E-06  ,1704E+03  ,3273E+03  -,9889089 -,0546893  ,1380877
B  589  1 ,1802374E+04 -  2787344E-08  ,1080E+03  ,1092E+04  -,3926601 -,9153348  ,0893327
B  590  1 ,1218588E+05 -  1189692E-07  ,4650E+03  ,8845E+01  -,3313629  ,8082178  ,4868087
B  592  1 ,7500894E+04 -  1046698E-06  ,8107E+03 -,3375E+02  -,4542954  ,7731034  ,4426362
B  595  1 ,1413495E+05 -  1848116E-07  ,1685E+03  ,5361E+02  -,6891828 -,2767206  ,6696662
B  596  1 ,3850036E+03 -  5200733E-07  ,3826E+03  ,1433E+04  -,5047035  ,5659037 -,6519412
B  600  1 ,5335639E+04 -  2747556E-07  ,7284E+03 -,7907E+03  -,9344431 -,3452027 -,0874716
B  603  1 ,7875751E+04 -  1310890E-06  ,9065E+03  ,5960E+03  -,9649208 -,0121410  ,2622602
B  606  1 ,1028744E+05 -  5594668E-07  ,7279E+03 -,4797E+03  -,4072544  ,8997667 -,1567282
B  609  1 ,6057437E+04 -  1401909E-06  ,5549E+03 -,3042E+03  -,7581332 -,6467651 -,0832404
B  610  1 ,9636452E+04 -  2171087E-06  ,1272E+03  ,5849E+03  -,8964019 -,2492229  ,3665400
B  614  1 ,9231895E+04 -  1403219E-07  ,6954E+03  ,3731E+03  -,2427910  ,5924435  ,7681558
B  617  1 ,8142114E+04 -  6291784E-07  ,6680E+03 -,3554E+02  -,9201151 -,1943834  ,3400049
B  618  1 ,9623272E+04 -  4664847E-08  ,6080E+03 -,1811E+02  -,4936407  ,8593523  ,1335383
B  620  1 ,8133138E+04 -  1204092E-06  ,1038E+04  ,4107E+03  -,6263430 -,3233805  ,7093092
B  624  1 ,2593913E+04 -  8889703E-07 -,3437E+03  ,3316E+03  -,6387276 -,7661839 -,0706348
B  626  1 ,9696926E+04 -  3363244E-07  ,4343E+03 -,6292E+03  -,9393132 -,3430533  ,0022803
B  627  1 ,1649074E+05 -  2047201E-07  ,2544E+03  ,5415E+02  -,4217657  ,7869738  ,4503176
B  628  1 ,7283241E+04 -  1145953E-06  ,9872E+03 -,1851E+03  -,9857951  ,1521542  ,0711132
B  631  1 ,1146316E+05 -  9153595E-07  ,9335E+03  ,9183E+02  -,7350022  ,6738544  ,0754455
