============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 keV) ==> Tungsten+SiO@2+Silicon(  2.5 um) ===========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  531 18 ,4668402E+04 -  9286796E-08  ,5463E+02  ,1552E+02  -,6726131  ,4056389  ,6189093
B  532 18 ,7755219E+03 -  1607450E-06  ,9095E+02 -,4274E+00  -,7075746  ,5153930 -,4834339
B  533 18 ,7838399E+04 -  8239095E-07  ,3437E+02  ,8637E+01  -,4235278  ,8896800  ,1705689
B  538 18 ,6484504E+04 -  3883381E-08  ,7260E+01 -,3529E+01  -,4275486  ,7029111 -,5684349
B  541 18 ,8613856E+02 -  1579463E-06  ,2005E+02  ,1852E+02  -,6511601  ,7301398  ,2070901
B  542 18 ,5812854E+03 -  1031284E-06  ,4055E+02  ,2249E+02  -,9240316 -,3818475 -,0189233
B  544 18 ,7529022E+04 -  6088226E-07  ,3827E+02  ,6139E+01  -,5488596  ,8189412  ,1675958
B  545 18 ,6568399E+04 -  4895356E-07  ,6827E+01  ,3780E+01  -,3232054  ,5590414  ,7635515
B  546 18 ,9046432E+03 -  1035721E-06  ,5276E+02  ,4096E+02  -,5697417  ,4970285  ,6544899
B  547 18 ,7225941E+04 -  1832559E-07  ,3110E+02  ,3093E+01  -,0908001  ,8511117  ,5170728
B  549 18 ,2496278E+04 -  1180007E-07  ,4621E+02  ,1879E+02  -,8059560  ,5689607  ,1634585
B  551 18 ,7175264E+04 -  2204079E-07  ,3683E+02  ,6404E+01  -,2187104  ,7388008  ,6374474
B  552 18 ,1451277E+03 -  1156194E-07  ,2414E+02 -,9223E+01  -,6232804 -,7567607  ,1970652
B  557 18 ,5829284E+04 -  1116332E-07  ,2343E+02 -,1346E+02  -,4784918  ,1275456 -,8687795
B  561 18 ,1024605E+04 -  1125696E-06  ,3716E+02 -,3248E+02  -,5376582 -,5453724 -,6430339
B  566 18 ,4484471E+04 -  1180088E-07  ,7337E+02  ,2177E+02  -,5027587 -,1238578  ,8555074
B  567 18 ,5950582E+04 -  1858379E-06  ,1995E+02  ,3044E+01  -,8418372  ,3135307  ,4393275
B  568 18 ,2454962E+04 -  8903476E-07  ,6890E+01  ,4588E+01  -,6041759 -,2476237  ,7573995
B  570 18 ,6310957E+04 -  3367864E-07  ,7396E+02  ,6980E+01  -,2072660  ,8470664  ,4894071
B  573 18 ,3534463E+03 -  3947112E-09  ,7096E+02  ,1437E+01  -,8970201  ,1717369 -,4072607
B  575 18 ,6110398E+04 -  3368173E-07  ,7595E+02  ,2737E+02  -,3457646  ,7813170  ,5196062
B  577 18 ,7134628E+04 -  8759754E-07  ,2185E+02  ,1790E+01  -,6061526  ,7837740  ,1351940
B  578 18 ,4157073E+04 -  5427304E-07  ,2738E+02 -,3925E+02  -,8813750 -,4445846 -,1597580
B  579 18 ,5485311E+04 -  9715659E-07  ,3152E+02  ,6009E+01  -,9043517  ,1923092  ,3810056
B  582 18 ,5198602E+04 -  4724130E-08  ,3306E+02 -,2138E+02  -,1267996  ,5914508 -,7963089
B  584 18 ,6607161E+04 -  2212139E-07  ,7616E+02 -,7034E+01  -,5866236  ,7342324 -,3417243
B  586 18 ,3956783E+04 -  1788297E-06  ,1046E+02 -,6288E+01  -,9853681 -,1551574 -,0705395
B  589 18 ,2997048E+02 -  6669313E-07  ,6825E+02 -,5040E+02  -,9470553  ,0660621 -,3142008
B  590 18 ,6605822E+04 -  9351246E-08  ,4131E+01 -,1307E+01  -,5373094  ,6629528 -,5213370
B  594 18 ,2668018E+04 -  2063164E-06  ,7292E+01 -,1130E+01  -,8822589 -,0528743  ,4677858
B  595 18 ,5744041E+04 -  3699897E-07  ,4009E+02 -,1203E+02  -,7607117  ,3521258 -,5452753
B  604 18 ,5523924E+04 -  5962105E-07  ,2134E+02  ,2839E+01  -,2849985  ,4343899 -,8544480
B  605 18 ,2940478E+04 -  2728648E-07  ,5555E+02  ,4445E+01  -,2747081  ,6957611  ,6636656
